*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-02-29_01-05-27.txt
*******************************
2024.04.20 18:56:48 Out<<	ほしぞらー
2024.04.20 18:56:50 Quit	17779.99
*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-04-20_18-57-14.txt
*******************************
2024.04.20 18:57:34 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:52560~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 18:57:42 In >>	もん ／ Montblanc
2024.04.20 18:57:42 Video	'https://youtu.be/aJ4MqRfgz6s?si=mj1b3N73sxovYN14'
2024.04.20 18:57:48 Video	'https://youtu.be/yfw4DSFI88g?si=ZBNZe5npql2suSm7'
2024.04.20 18:57:51 Enter	wrld_531e2ed0-cabe-43d7-ba82-b6933923a36b:62963~friends(usr_75b556cc-f123-44c5-8409-15974da68e89)~region(jp)
2024.04.20 18:57:59 In >>	ほしぞらー
2024.04.20 18:57:59 In >>	シェリル（Cheryl_MC）
2024.04.20 18:57:59 In >>	Starcat_JP
2024.04.20 18:57:59 In >>	つくなぎ
2024.04.20 18:57:59 In >>	chiffon_pudding
2024.04.20 18:57:59 In >>	もん ／ Montblanc
2024.04.20 18:57:59 Video	'https://www.youtube.com/watch?v=zpSJJITti9E'
2024.04.20 18:59:54 Video	'https://www.youtube.com/watch?v=I-nU1yLlza4&pp=ygUkbWFyaW8ga2FydCA4IGRlbHV4ZSBjb2NvbXV0IG1hbGwgb3N0'
2024.04.20 19:03:44 Video	'https://www.youtube.com/watch?v=HA3i00Nna8M'
2024.04.20 19:07:01 Video	'https://youtu.be/EUc4IfU173Q?si=dwiLXBZPlqA9p4mj'
2024.04.20 19:08:52 Video	'https://youtu.be/P3alQQjPOP0?si=pK_TNxAxXupsv3ob'
2024.04.20 19:09:12 Video	'https://www.youtube.com/watch?v=eQMri29IJEI'
2024.04.20 19:12:20 Video	'https://video.twimg.com/ext_tw_video/794377097816870912/pu/vid/960x720/OIJqXKSSQ9NtM04S.mp4'
2024.04.20 19:14:05 Video	'https://youtu.be/X-tEcProt54?si=bE2lSKX9tCMxVmHc'
2024.04.20 19:14:57 Video	'https://youtu.be/SqRzDEtEwtc?si=h6UGnNqZDCoEwZ9e'
2024.04.20 19:16:15 Video	'https://youtu.be/56LNo0B_d64?si=8mdCGBeT8d0GrY3z'
2024.04.20 19:19:54 Out<<	chiffon_pudding
2024.04.20 19:20:58 Video	'https://www.youtube.com/watch?v=BRfMDUgPDow'
2024.04.20 19:26:16 Video	'https://www.youtube.com/watch?v=xFDFCg0xrec&pp=ygUp44Oe44Oq44KqIOOCueODqeOCpOODgOODvCDogLPjgrPjg5QgcmVub3g%3D'
2024.04.20 19:29:00 Video	'https://youtu.be/5dM5rh-HsTU?si=gU96OZYKTWrPoWdg'
2024.04.20 19:30:43 Video	'https://youtu.be/594aUuWMiOE?si=_d2DRSwsVjVJSJjT'
2024.04.20 19:32:44 Video	'https://youtu.be/OWscdgiDHpo?si=DiprRVWR6e0ixkou'
2024.04.20 19:37:45 Video	'https://www.youtube.com/watch?v=4ppasEQ2OmE&pp=ygUa44Oe44Oq44KqICDogLPjgrPjg5QgcmVub3g%3D'
